S1;3927;3912;11165;69;85
S2;48;42;634;3;1
S3;655;655;832084;22;2
S4;9;9;3077;5;1
S5;46;36;56018;5;2
S6;67;67;201701;10;11
S7;123;123;49670;5;1
S8;64;24;184024;36;1159
S9;1789;981;67259;59;309
S10;1013;498;810326;33;9054
S11;67;58;41753;121;6
S12;834;834;300206;232;144
S13;195;206;66440;9;28
S14;3479;1613;186585;630;1620
C1;7142;157;9959167;43;1000
C2;2735;2735;847472;7;0
C3;6386;555;4555238;100;9
C4;7099;2149;22084242;402;50
C5;6123;4205;6668480;58;0
C6;46488;46488;2746113;797;148
C7;34768;123;194979;254;134
C8;1884;444;1831595;757;1973
C9;8890;8890;12432147;33;0
C10;935;935;161938;9;10
L1;61545;811;9312828;2839;209287
L2;279430;279430;12962031;77;148
L3;-1;-1;-1;-1;-1
L4;912261;912261;156637109;948;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;72330;72330;171110278;885;0
L8;903602;903602;14806302;6151;0
CH1;669800;669800;13054439;1752;0
CH2;-1;-1;-1;-1;-1
CH3;6802;6802;1745341;133;0
CH4;115822;115822;354405050;8012;0
CH5;918521;918521;271883701;13989;0
CH6;224;224;7855;3;0
CH7;17366;17366;939797;2390;0
CH8;-1;-1;-1;-1;-1
