S1;11843;8736;2408;150;6
S2;1220;1220;3193;319;1
S3;17387;17387;3659906;1081;2
S4;1062;1062;72051;3227;0
S5;2314;2526;341416;525;0
S6;6057;6352;1097249;911;11
S7;3670;3670;196572;390;1
S8;14722;3922;427375;1191;1159
S9;7686;7264;93808;194;309
S10;47638;14766;9245854;460;0
S11;5726;5001;46966;201;6
S12;12603;7649;3670129;890;144
S13;2981;2172;209557;473;28
S14;-1;-1;-1;-1;-1
C1;21962;3612;7962274;1358;1000
C2;-1;-1;-1;-1;-1
C3;17186;7795;20284335;2565;9
C4;29435;26750;18801325;2045;50
C5;-1;-1;-1;-1;-1
C6;112463;112463;119139455;10742;148
C7;63196;1069;7088600;20856;134
C8;57017;2407;761750401;32433;1973
C9;-1;-1;-1;-1;-1
C10;17630;17630;1330032;2525;10
L1;130747;130747;238176083;2115989;209287
L2;1108057;1108057;379748042;32755;148
L3;-1;-1;-1;-1;-1
L4;-1;-1;-1;-1;-1
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;399259;399259;856848361;237734;0
L8;-1;-1;-1;-1;-1
CH1;-1;-1;-1;-1;-1
CH2;-1;-1;-1;-1;-1
CH3;60963;15078;780214754;1194557;0
CH4;-1;-1;-1;-1;-1
CH5;-1;-1;-1;-1;-1
CH6;14029;14029;28468;574;0
CH7;282823;282823;1936748;1228111;0
CH8;-1;-1;-1;-1;-1
