S1;-1;-1
S2;101;60
S3;96495;101426
S4;1479;1355
S5;1538;1543
S6;15221;14175
S7;177287;185396
S8;83;15
S9;-1;-1
S10;5335;2842
S11;56008;52296
S12;18645;18307
S13;2311;1771
S14;15634;7671
C1;10795;2914
C2;1836;1422
C3;2494;1104
C4;102043;84783
C5;11397;6238
C6;105364;57026
C7;59943;27221
C8;7576;4132
C9;49677;41098
C10;11460;8331
L1;211326;173191
L2;971752;651370
L3;-1;-1
L4;-1;-1
L5;-1;-1
L6;-1;-1
L7;209765;124485
L8;1194986;362077
CH1;1184598;517035
CH2;-1;-1
CH3;116385;96662
CH4;304820;230898
CH5;-1;-1
CH6;17131;14671
CH7;57604;38534
CH8;-1;-1
